run_id,collection_date,env_biome,env_feature,env_material,geo_loc_name,host,lat_lon,misc_param,BioSampleModel,title,host_genotype,host_life_stage,isolation_source,plant_body_site,watering_regm,replicate,treatment
SRR5225202,2015-08-12,Agricultural field,field,soil,"USA:California,Albany",not applicable,37.53 N 122.18 W,,MIGS/MIMS/MIMARKS.plant-associated,16S rRNA Amplicon Sequencing of Plant Associated microbiomes:   Zea mays pre-flowering Drought Root,Mo17,pre-flowering,Zea mays,Root,Drought,Biological Replicate 2,drought
SRR5225201,2015-08-12,Agricultural field,field,soil,"USA:California,Albany",not applicable,37.53 N 122.18 W,,MIGS/MIMS/MIMARKS.plant-associated,16S rRNA Amplicon Sequencing of Plant Associated microbiomes:   Zea mays pre-flowering Drought Rhizosphere,Mo17,pre-flowering,Zea mays,Rhizosphere,Drought,Biological Replicate 2,drought
SRR5225200,2015-08-12,Agricultural field,field,soil,"USA:California,Albany",not applicable,37.53 N 122.18 W,,MIGS/MIMS/MIMARKS.plant-associated,16S rRNA Amplicon Sequencing of Plant Associated microbiomes:   Zea mays pre-flowering Drought Soil,Mo17,pre-flowering,Zea mays,Soil,Drought,Biological Replicate 2,drought
SRR5225199,2015-08-12,Agricultural field,field,soil,"USA:California,Albany",not applicable,37.53 N 122.18 W,,MIGS/MIMS/MIMARKS.plant-associated,16S rRNA Amplicon Sequencing of Plant Associated microbiomes:   Zea mays pre-flowering Control Root,Mo17,pre-flowering,Zea mays,Root,Control,Biological Replicate 2,control
SRR5225198,2015-08-12,Agricultural field,field,soil,"USA:California,Albany",not applicable,37.53 N 122.18 W,,MIGS/MIMS/MIMARKS.plant-associated,16S rRNA Amplicon Sequencing of Plant Associated microbiomes:   Zea mays pre-flowering Control Rhizosphere,Mo17,pre-flowering,Zea mays,Rhizosphere,Control,Biological Replicate 2,control
SRR5225197,2015-08-12,Agricultural field,field,soil,"USA:California,Albany",not applicable,37.53 N 122.18 W,,MIGS/MIMS/MIMARKS.plant-associated,16S rRNA Amplicon Sequencing of Plant Associated microbiomes:   Zea mays pre-flowering Control Soil,Mo17,pre-flowering,Zea mays,Soil,Control,Biological Replicate 2,control
SRR5225196,2015-08-12,Agricultural field,field,soil,"USA:California,Albany",not applicable,37.53 N 122.18 W,,MIGS/MIMS/MIMARKS.plant-associated,16S rRNA Amplicon Sequencing of Plant Associated microbiomes:   Secale cereale pre-flowering Drought Root,PI35153,pre-flowering,Secale cereale,Root,Drought,Biological Replicate 2,drought
SRR5225195,2015-08-12,Agricultural field,field,soil,"USA:California,Albany",not applicable,37.53 N 122.18 W,,MIGS/MIMS/MIMARKS.plant-associated,16S rRNA Amplicon Sequencing of Plant Associated microbiomes:   Secale cereale pre-flowering Drought Rhizosphere,PI35153,pre-flowering,Secale cereale,Rhizosphere,Drought,Biological Replicate 2,drought
SRR5225194,2015-08-12,Agricultural field,field,soil,"USA:California,Albany",not applicable,37.53 N 122.18 W,,MIGS/MIMS/MIMARKS.plant-associated,16S rRNA Amplicon Sequencing of Plant Associated microbiomes:   Secale cereale pre-flowering Drought Soil,PI35153,pre-flowering,Secale cereale,Soil,Drought,Biological Replicate 2,drought
SRR5225193,2015-08-12,Agricultural field,field,soil,"USA:California,Albany",not applicable,37.53 N 122.18 W,,MIGS/MIMS/MIMARKS.plant-associated,16S rRNA Amplicon Sequencing of Plant Associated microbiomes:   Secale cereale pre-flowering Control Root,PI35153,pre-flowering,Secale cereale,Root,Control,Biological Replicate 2,control
SRR5225192,2015-08-12,Agricultural field,field,soil,"USA:California,Albany",not applicable,37.53 N 122.18 W,,MIGS/MIMS/MIMARKS.plant-associated,16S rRNA Amplicon Sequencing of Plant Associated microbiomes:   Secale cereale pre-flowering Control Rhizosphere,PI35153,pre-flowering,Secale cereale,Rhizosphere,Control,Biological Replicate 2,control
SRR5225191,2015-08-12,Agricultural field,field,soil,"USA:California,Albany",not applicable,37.53 N 122.18 W,,MIGS/MIMS/MIMARKS.plant-associated,16S rRNA Amplicon Sequencing of Plant Associated microbiomes:   Secale cereale pre-flowering Control Soil,PI35153,pre-flowering,Secale cereale,Soil,Control,Biological Replicate 2,control
SRR5225190,2015-08-12,Agricultural field,field,soil,"USA:California,Albany",not applicable,37.53 N 122.18 W,,MIGS/MIMS/MIMARKS.plant-associated,16S rRNA Amplicon Sequencing of Plant Associated microbiomes:   Pennisetum americanum pre-flowering Drought Root,GMI-7295,pre-flowering,Pennisetum glaucum,Root,Drought,Biological Replicate 2,drought
